item_code,on_hand_qty
31030490,8
31030506,0
31030506,9
31030518,19
31030518,0
31030520,7
31030520,13.25
31030531,11
31030543,0
31030555,0
31030609,0
31036028,0
31036028,70
31036030,5400
31036030,0
31036041,5682
31036041,0
31036053,0
31036065,226
31036065,516
31036077,1
31036077,103
31036089,15
31036089,499
31036107,0
31036132,0
31036132,390
31036144,0
31036144,0
31036168,59
31036181,603
31036193,838
31036211,0
31036211,0
31036296,624
31036302,1026
31040068,357.75
31040081,0
31040081,273
31047166,0
31047166,19
31047178,0
31047178,0
31047178,0
31047210,0
31047221,91
31047233,0
31047233,0
31047245,134
31047245,0
31047257,1736
31047257,0
31047269,0
31050130,1584
31050130,0
31050220,136
31050220,0
31050256,2
31050530,1256
31050542,147
31050554,1270
31050566,484
31050578,1526
31050578,0
31050608,0
31050610,6552
31050621,2
31050633,0
31050633,0
31054110,0
31056090,0
31056106,1944
31056118,143
31056118,0
31056120,1379
31056155,172
31056167,217
31056180,0
31056192,619
31057354,118
31057366,70
31057573,231
31057573,0
31057603,246
31057615,0
31057627,190
31057639,0
31057640,0
31057652,0
31057652,117
31057652,0
31057664,0
31057664,21
31057664,25
31057664,0
31057676,0
31057676,490
31057676,0
31057688,0
31057688,86
31057688,0
31057731,0
31057743,1
31057755,0
31057767,0
31057779,662
31057779,0
31057780,462
31057780,3700
31057780,0
31057925,5
31057937,6
31057998,0
31058012,452
31058048,0
31058048,405
31058050,29
31058050,203
31058061,0
31058061,0
31058073,97
31058073,158
31060020,993
31060020,0
31060031,0
31060031,924
31060031,0
31060122,1204
31060146,0
31060146,0
31060274,1979
31060286,0
31060286,80
31060298,661
31060304,2004
31060330,0
31060341,1201
31060377,0
31060377,206
31060389,0
31060407,75
31060407,0
31060407,0
31060419,0
31076014,0
31076014,0
31100454,0
31100454,0
31100466,0
31100466,6
31100478,0
31100478,4
31100491,0
31100491,2
31100569,0
31100569,0
31100624,0
31100673,0
31100673,77
31100776,0
31100776,0
31100776,0
31100806,10
31100855,0
31100855,0
31100880,0
31100922,2
31100922,3
31100960,0
31100960,0
31100960,10
31100971,0
31100971,5
31101021,0
31101069,0
31101100,0
31101100,0
31101150,0
31101150,0
31101197,0
31101197,5
31101367,0
31101367,0
31101409,0
31101495,11
31101513,0
31101513,0
31101550,0
31101550,0
31101562,0
31101574,105
31101586,0
31101598,0
31101677,0
31101689,1
31101707,1
31101884,30
31101896,4
31101902,0
31101914,0
31101926,20
31101938,0
31101940,12
31101963,5
31101975,0
31101987,0
31101999,0
31102001,0
31102025,0
31102025,0
31102037,0
31102037,0
31102050,0
31102050,0
31102086,29
31102098,18
31102104,19
31102116,12
31102128,10
31102130,22
31102141,1
31102153,2
31102165,0
31102177,7
31102189,4
31102190,2
31102207,0
31102219,0
31102220,0
31102232,6
31102244,0
31102244,0
31102293,0
31102300,0
31102311,0
31102323,0
31102335,0
31102347,0
31102359,0
31102372,0
31102384,0
31102396,0
31102440,0
31102440,16
31102451,0
31102451,0
31102463,0
31102475,14
31102475,0
31102487,15
31102499,0
31102499,0
31102499,0
31102505,15
31102517,0
31102529,0
31102530,0
31102542,0
31102554,0
31102580,0
31102591,0
31102608,0
31102610,0
31102621,0
31102633,0
31102694,2
31102694,0
31102712,0
31102724,7
31102724,0
31102736,0
31102736,0
31102748,0
31102748,0
31102750,0
31102750,0
31102864,2
31102876,4
31102920,0
31110113,24
31110125,45
31110137,73
31110149,4
31110150,0
31110162,0
31110174,0
31110204,0
31110216,20
31110228,30
31110230,36
31110253,20
31110289,0
31110289,13
31110290,0
31110320,0
31110344,0
31110344,0
31110370,10
31110381,0
31110381,27
31110393,0
31110460,0
31110460,49
31110484,0
31110484,0
31110514,0
31110540,469
31110551,0
31110551,311
31110587,0
31110587,0
31110630,0
31110678,0
31110782,0
31110782,0
31110800,0
31110824,3128
31110836,234
31110850,0
31110861,0
31110873,1819
31110873,0
31110885,26
31110903,0
31110903,3.5
31110915,0
31110927,69
31110939,6.5
31110940,13
31110952,20
31110964,5
31110976,0
31111002,7
31111040,15
31111051,2
31111063,7
31111075,0
31111087,0
31111087,93
31111105,0
31111117,0
31111130,0
31111142,2
31111178,2
31111180,12
31111191,1043
31111208,426
31111233,0
31111233,7880.32
31111245,0
31111270,0
31111312,48
31111324,2
31111336,0
31111336,28
31111348,0
31111348,9
31111350,0
31111361,0
31111373,0
31111385,28
31111397,155
31111403,282
31111415,3115
31111427,103
31111488,0
31111488,2
31111490,0
31111490,1
31111506,0
31111506,0
31111518,0
31111518,0
31111579,0
31111580,0
31111592,6
31111609,4
31111634,2
31111646,6
31111658,0
